Title,Authors,Text,Image,Videos,Link,Published_Date
"China, a Major Bitcoin Source, Considers Moving Against It",['Cao Li'],"HONG KONG — China is planning new steps that could put a stop to making Bitcoin there, a move that could cut off one of the world’s largest sources of the popular but unstable cryptocurrency.

The National Development and Reform Commission, China’s top economic planning body, this week added cryptocurrency mining to a list of about 450 industries that it proposes to eliminate. If the move is approved, local governments in China will be prohibited from supporting makers of Bitcoin and other digital currencies through subsidies or other benefits.

The commission said it would seek public comment until May 7 before making a final decision.

China was once the world’s largest Bitcoin maker, though rising government pressure has forced many of those who make the cryptocurrency, known as miners, to other countries. Still, a number of Bitcoin miners could remain, especially if local governments ignored the instructions and found a way to prop up local producers, people in the business say.

“It is categorized as an industry that is not encouraged or allowed to expand, but it is not a ban,” said Zhao Qianjie, a former executive at BTCChina, which was China’s first cryptocurrency exchange.",https://static01.nyt.com/images/2019/04/09/world/09bitcoin/09bitcoin-facebookJumbo.jpg,[],https://www.nytimes.com/2019/04/09/business/bitcoin-china-ban.html,2019-04-09 00:00:00
"Amid Bitcoin Uncertainty, ‘the Smart Money Knows That Crypto Is Not Ready’",['Nathaniel Popper'],"SAN FRANCISCO — Paul Chou was among the many Bitcoin aficionados who thought big Wall Street institutions were about to become heavy hitters in the cryptocurrency markets.

Mr. Chou came from one of those institutions, Goldman Sachs, and created a cryptocurrency exchange, LedgerX, that would cater to big investors with sophisticated financial contracts.

Now, in the wake of last year’s Bitcoin crash, Mr. Chou is being forced to confront how few of the big finance companies acted on their cryptocurrency plans.

“It was definitely part of the original plan that institutions would be a big part of this market,” he said. “We were wrong.”",https://static01.nyt.com/images/2019/03/31/business/00bitcoin/00bitcoin-facebookJumbo.jpg,[],https://www.nytimes.com/2019/04/02/technology/cryptocurrency-bust-wall-street.html,2019-04-02 00:00:00
Bitcoin Tycoon Who Oversaw Mt. Gox Implosion Gets Suspended Sentence,['Ben Dooley'],"TOKYO — A Tokyo court handed down a two-and-a-half-year prison sentence on Friday to the former head of Mt. Gox, a cryptocurrency exchange that helped establish Bitcoin as a household name before spectacularly imploding amid allegations of mismanagement.

Still, Mark Karpelès, the French national who presided over Mt. Gox’s rise to become the world’s largest Bitcoin exchange, will not serve additional time if he remains on good behavior.

The verdict ended a more-than-five-year ordeal for Mr. Karpelès, who was found guilty on a charge of falsifying data but innocent of two additional charges of embezzlement and breach of trust. He was arrested in August 2015 and held for almost a year in detention, where he spent months under interrogation by prosecutors who upped the pressure by adding more charges against him.

His sentence was suspended for four years, effectively meaning he will serve no additional jail time as long as he remains on good behavior.",https://static01.nyt.com/images/2019/03/15/world/15bitcoin-1/15bitcoin-1-facebookJumbo.jpg,[],https://www.nytimes.com/2019/03/15/business/bitcoin-mt-gox-mark-karpeles-sentence.html,2019-03-15 00:00:00
"How a Bitcoin Evangelist Made Himself Vanish, in 15 (Not So Easy) Steps",['Nathaniel Popper'],"In October 2017, a SWAT team descended on Jameson Lopp’s house in North Carolina. Someone — it still isn’t clear who — had called the police and falsely claimed that a shooter at the home had killed someone and taken a hostage. After the police left, Mr. Lopp received a call threatening more mayhem if he did not make a large ransom payment in Bitcoin.

To scare off future attackers, Mr. Lopp quickly posted a video on Twitter of himself firing off his AR-15 rifle. He also decided he was going to make it much harder for his enemies — and anyone else — to find him ever again.

Mr. Lopp, a self-described libertarian who works for a Bitcoin security company, had long been obsessed with the value of privacy, and he set out to learn how thoroughly a person can escape the all-seeing eyes of corporate America and the government. But he wanted to do it without giving up internet access and moving to a shack in the woods.

Many celebrities and wealthy people, wary of thieves, paparazzi and other predators, have tried to achieve Mr. Lopp’s vision of complete privacy. Few have succeeded.",https://static01.nyt.com/images/2019/03/10/business/10LOPP1-illo-jpg/fileupload-1551724657439-facebookJumbo.jpg,[],https://www.nytimes.com/2019/03/12/technology/how-to-disappear-surveillance-state.html,2019-03-12 00:00:00
Facebook and Telegram Are Hoping to Succeed Where Bitcoin Failed,"['Nathaniel Popper', 'Mike Isaac']","Facebook has been coy about what it is building. The team is in an office with separate key-card access so other Facebook employees cannot get in, according to two Facebook employees.

Facebook is looking at several ways to use the blockchain, the technology introduced by Bitcoin that makes it possible to keep shared records of financial transactions on several computers, rather than relying on one big central player like PayPal or Visa.

The five people who have been briefed on the Facebook team’s work said the company’s most immediate product was likely to be a coin that would be pegged to the value of traditional currencies, as Bloomberg first reported.

A digital token with a stable value would not be attractive to speculators — the main audience for cryptocurrencies so far — but it would allow consumers to hold it and pay for things without worrying about the value of the coin rising and falling.

Several other companies have recently introduced so-called stablecoins, linked to the value of the dollar. JPMorgan Chase even said it was experimenting with the concept last month.

Facebook is looking at pegging the value of its coin to a basket of different foreign currencies, rather than just the dollar, three people briefed on the plans said. Facebook could guarantee the value of the coin by backing every coin with a set number of dollars, euros and other national currencies held in Facebook bank accounts.

The company is overhauling its messaging infrastructure, which would connect three of its properties — Messenger, WhatsApp and Instagram. That integration, which could take more than a year, would extend the reach of Facebook’s digital currency across the 2.7 billion people who use one of the three apps each month.",https://static01.nyt.com/images/2019/03/01/business/01socialcoin/28socialcoin-promo-facebookJumbo.jpg,[],https://www.nytimes.com/2019/02/28/technology/cryptocurrency-facebook-telegram.html,2019-02-28 00:00:00
Opinion | Bitcoin Has Saved My Family,['Carlos Hernández'],"Early last year, he started doing graphic design and translations online. But most websites pay for freelance work through PayPal and the like, which we can’t use because exchange controls here allow Venezuelan banks to use only local currency. (For the outside world, even those of us who have bank accounts here are effectively unbanked.) So Juan had to turn to cryptocurrencies to get paid.

Thanks to those earnings, he started thinking about leaving Venezuela. He was able to buy what he needed for the trip to Colombia: clothes, a backpack, a smartphone. He put some money aside. He even gained a little weight, an anomaly around here these days.

Cryptocurrencies also helped him during the four-day trip itself. Venezuelan military personnel at the borders have a reputation for seizing the money of people who want to leave, but Juan’s, being in Bitcoin, was accessible only with a password he had memorized. “Borderless money” is more than a buzzword for those of us who live in a collapsing economy and a collapsing dictatorship.

The plan was for him to send money home — through cryptocurrencies — after he earned enough. Western Union converts remittances into bolívars at the official government rate, which often is about half of the rate on the black market. Some intermediaries do convert at the black market rate, and many of my Venezuelan friends living abroad use those. But if you don’t have a trusted trader, you can easily get scammed. And the government has been trying to shut down go-betweens like those for years. Using Bitcoin is cheaper, faster and safer.

We had it all figured out. But then Juan couldn’t find a decent job in Colombia. After three months he ran out of money, and I had to send him Bitcoins so that he could come back to Venezuela.

And even cryptocurrencies can go only so far.

On Tuesday, after changing my Bitcoins into bolívars — about $5 worth — I went out for milk. I went to every one of the stores within walking distance of my house that hasn’t shut down over the past year. Not one of the 20 had milk.

But I had to buy something, anything, before my bolívars lost value. So I bought cheese, from a store that had only cheese. Well, it also had transparent green plastic bags with no labels and what the seller said was corn flour. But I didn’t dare to buy that.

Carlos Hernández is an economist and a contributor to Caracas Chronicles.

Follow The New York Times Opinion section on Facebook, Twitter (@NYTopinion) and Instagram.",https://static01.nyt.com/images/2019/02/24/opinion/sunday/24hernandez/24hernandez-facebookJumbo.jpg,[],https://www.nytimes.com/2019/02/23/opinion/sunday/venezuela-bitcoin-inflation-cryptocurrencies.html,2019-02-23 00:00:00
Is Blockchain Technology Overhyped?,['James Ryerson'],"Blockchain, the ingenious database technology best known for underpinning the faddish digital currency Bitcoin, is reviving the utopian fantasies of the early internet era. In an influential manifesto from that time, “A Declaration of the Independence of Cyberspace,” published in 1996, the essayist and activist John Perry Barlow opposed the idea of government regulation of the internet, offering instead an anarchical vision of an online world in which a decentralized network of people existed free from all authorities and intermediaries save for their own “social contract.” Whatever else Barlow’s statement might have been, it was not prophetic. The online world today is full of authorities and intermediaries — search engines, social media platforms, cloud computing services, internet service providers — all of which exert considerable control over cyberspace and are themselves shaped by laws and regulations. It is hard to imagine a cyberlibertarian paradise emerging from that.

Or it was hard to imagine, until blockchain came along. The first blockchain was the database introduced in 2009 as the infrastructure of Bitcoin; it is where every transaction involving Bitcoin is stored. Because this database is “distributed” (it is supported only by the network of its many thousands of users, with no central or controlling nodes) and because, thanks to a cunning design, it can essentially guarantee the integrity and authenticity of the information it stores, it demonstrates that a functioning currency does not require a bank or equivalent centralized institution. Whether Bitcoin itself ends up being successful is not what matters. What matters is the discovery that the underlying blockchain technology can obviate the need for centralized authorities in contexts where they were once thought to be indispensable. This includes social, political, economic and legal transactions involving not just currency but also stock certificates, deeds to plots of land, titles to copyrighted works, remittance payments, food supply chains, votes in an electoral system and so on.

For the John Perry Barlows of today, blockchain represents a new opportunity to free people from governments, corporations and other sources of centralized control. (Indeed, a few true believers, made rich during the recent digital currency boom, are spending millions of dollars on potential experimental communities where rights and contracts would be implemented using blockchain technology.) But for the legal scholars Primavera De Filippi and Aaron Wright, the innovative promise of blockchain, though real, has been exaggerated. As they argue in BLOCKCHAIN AND THE LAW: The Rule of Code (Harvard University, $35), the growth and evolution of this technology “will follow a similar path” to that of the internet itself: from anarchic potential to a more regulated and controlled reality. They also argue that this is desirable — that blockchain visionaries looking to free people from the hegemony of governments and corporations “could wind up surrendering themselves (and others) to the whims of a much more powerful enemy”: namely, the self-governing code of blockchain itself.

To understand why many proponents of blockchain assume, contrary to De Filippi and Wright, that the technology can and should remain impervious to external control, it helps to understand some details about how such a technology works. Imagine you want to send someone a certain amount of Bitcoin as payment for a service provided. Rather than having the payment go through a bank to be authorized, as it would if you paid with a check or credit card, the proposed transaction is shared with and authorized by the entire Bitcoin network. To determine whether you have enough Bitcoin to make your payment, the computers on the network search through the history of all previous Bitcoin transactions. If your transaction is valid, it is added to a list, or “block,” of recent pending transactions. Every 10 minutes or so, the latest block is collectively verified by the network and added to the “chain” of all the previous blocks. Everyone’s Bitcoin account balance is updated accordingly. This communally maintained history of total transactions — a copy of which is shared with every node of the network — is the blockchain.",https://static01.nyt.com/images/2019/02/17/books/review/17IvoryTower/17IvoryTower-facebookJumbo.jpg,[],https://www.nytimes.com/2019/02/15/books/review/blockchain.html,2019-02-15 00:00:00
JPMorgan Chase Moves to Be First Big U.S. Bank With Its Own Cryptocurrency,"['Michael J. De La Merced', 'Nathaniel Popper']","JPMorgan’s version will be less useful than other similar products because it will not be possible to move it outside the firm’s own systems, at least initially. What’s more, it is still just being tested and is not available to clients yet.

But the entry of a major Wall Street bank into the market shows the mundane ways in which cryptocurrency technology has begun to gain traction in the traditional financial system a year after the prices of Bitcoin and other digital tokens crashed in spectacular fashion.

The firm said it began working last year on what became JPM Coin to help its big customers, including major corporations and other banks, move money quickly and securely. (JPMorgan says it provides banking services for about 80 percent of Fortune 500 companies.)

Essentially, when customers want to move dollars using the bank’s blockchain system, money in their JPMorgan accounts will be converted into JPM Coins, each one backed by a dollar in JPMorgan’s accounts.

The token will be able to move nearly instantaneously on the coin’s ledger, which will initially be based on JPMorgan’s Quorum blockchain. Once transfers are competed, the coins can be converted back to dollars.

The advantage of such a token, Mr. Farooq said, is speed. Clients that want to move huge sums of money would traditionally need to do so via wire transfer, a process that could take hours or even days. With international transfers, changes in currency exchange rates during the long lag times could end up adding to customers’ costs.

Mr. Farooq said JPMorgan’s offering would be useful for big clients, but not for the smaller speculators who have typically taken an interest in cryptocurrencies.",https://static01.nyt.com/images/2019/02/15/business/15DB-CHASECRYPTO-print/15DB-CHASECRYPTO-facebookJumbo.jpg,[],https://www.nytimes.com/2019/02/14/business/dealbook/jpmorgan-cryptocurrency-bitcoin.html,2019-02-14 00:00:00
Cryptocurrency Was Their Way Out of South Korea’s Lowest Rungs. They’re Still Trying.,"['Alexandra Stevenson', 'Su-Hyun Lee']","Cryptocurrencies seemed to be a way to disrupt that social order.

“There is no true opportunity in South Korea for the average young person,” said Kim Han-gyeol, 23, who graduated from a vocational school and became a part-time software developer for an e-book company.

She lives with her parents and works part time at Dunkin’ Donuts, studying English online at night.

At first, she made a lot of money investing in cryptocurrencies. She used a few thousand dollars she made to buy nice clothes for herself and her mother, and dreamed of starting a coffee shop with her loot. Then, she lost nearly all of it.

“I felt a sense of shame when I lost money on my Bitcoin investments, not once but twice because of my greed to make a fortune in one go,” she said. Even still, she added, she’ll stick to digital coins.

“There is nowhere else to go to recover my losses anyway,” she said.

Being young in South Korea can be defeating and stifling. To succeed is to get either a government position or a job at one of a small but powerful group of family-owned conglomerates that control most of the products Koreans use. This requires getting into one of a handful of exclusive universities, a feat that has become so difficult that many young people delay applying for several years.

Income inequality is among the worst in Asia. Youth unemployment is 10.5 percent and has hovered near that figure for the past five years even as overall unemployment is 3.4 percent.

Young Koreans are called the “sampo generation,” a portmanteau referring to the three things they have given up on: courtship, marriage and family.",https://static01.nyt.com/images/2019/02/11/business/11skcrypto1-print/00skcrypto-1-facebookJumbo.jpg,[],https://www.nytimes.com/2019/02/10/business/south-korea-bitcoin-cryptocurrencies.html,2019-02-10 00:00:00
"Behind Tech’s Shine, Some Warnings Signs Appear","['David Streitfeld', 'Don Clark']","SAN FRANCISCO — Don’t look now: Storm clouds are gathering over tech.

Chinese consumers have pulled back their spending, blowing a $9 billion hole in Apple’s recent quarterly revenue. China was again a culprit when Nvidia warned last month that its revenue would come in 20 percent below expectations, though the graphics chip maker also blamed slack demand from Bitcoin miners and cloud data centers.

Intel, the big chip maker, cited intensifying “trade and macro concerns” for financial results in January that did not meet expectations. And Samsung, another semiconductor powerhouse, said sales plunged 10 percent in the fourth quarter because of weakening demand for its memory chips from data centers and smartphones.

China, smartphones, Bitcoin and cloud computing have been among the major drivers of the long tech boom, which in turn has powered the global economy for the last decade. The ingredient common to all of these sectors is computer chips, which form the brains of devices and whose ubiquity means they provide early signals about changes in supply and demand.

Warnings about a sales slowdown this year have come in recent weeks from big chip suppliers that also include Taiwan Semiconductor Manufacturing Company, Micron Technology and Western Digital. It’s an abrupt reversal, coming on the heels of stellar results in 2018 for the business that gave Silicon Valley its name.",https://static01.nyt.com/images/2019/02/04/business/04Techwarnings-illo/merlin_150069981_262b138e-da89-425b-ab25-c9442eaab0ca-facebookJumbo.jpg,[],https://www.nytimes.com/2019/02/03/technology/tech-warning-signs.html,2019-02-03 00:00:00
