Affordable Housing Clusters,Latitude,Longitude,Count
Housing Clusters 1,41.90708504,-87.69461792,1
Housing Clusters 2,41.82038154,-87.61438244,2
Housing Clusters 3,41.85039133,-87.7148139,1
Housing Clusters 4,41.70530587,-87.62081344,1
Housing Clusters 5,41.79376972,-87.61813849,2
Housing Clusters 6,41.93104976,-87.79077219,1
Housing Clusters 7,41.86459606,-87.69350249,1
Housing Clusters 8,41.9635354,-87.65179619,2
Housing Clusters 9,41.90347604,-87.6404423,1
Housing Clusters 10,41.99344157,-87.69964542,3
Housing Clusters 11,41.84565291,-87.61781639,1
Housing Clusters 12,41.8778101,-87.76460117,3
Housing Clusters 13,41.74387382,-87.60517616,1
Housing Clusters 14,41.74972646,-87.69327334,1
Housing Clusters 15,41.98466628,-87.80707301,2
Housing Clusters 16,41.89107163,-87.7131334,1
Housing Clusters 17,41.84272915,-87.64624727,2
Housing Clusters 18,41.72828073,-87.54575701,2
Housing Clusters 19,41.97839039,-87.77439957,1
Housing Clusters 20,41.9012249,-87.66758206,1
Housing Clusters 21,41.9029286,-87.70811951,1
Housing Clusters 22,41.86921476,-87.71947509,1
Housing Clusters 23,41.76947523,-87.74048606,1
Housing Clusters 24,41.80078286,-87.71473662,4
Housing Clusters 25,41.78308849,-87.60598773,1
Housing Clusters 26,41.98518678,-87.65680868,1
Housing Clusters 27,41.86166987,-87.65963108,2
Housing Clusters 28,41.97235677,-87.67492225,3
Housing Clusters 29,41.93012657,-87.74638854,2
Housing Clusters 30,41.74586011,-87.65376017,2
Housing Clusters 31,41.98752226,-87.68971871,1
Housing Clusters 32,41.75787127,-87.56285983,1
Housing Clusters 33,42.01714971,-87.67317857,1
Housing Clusters 34,41.87753589,-87.69706305,1
Housing Clusters 35,41.85469028,-87.65647821,1
Housing Clusters 36,41.96822423,-87.73974749,1
Housing Clusters 37,41.77928099,-87.68967949,1
Housing Clusters 38,41.64845741,-87.54012317,1
Housing Clusters 39,41.76795883,-87.58910953,1
Housing Clusters 40,41.96893506,-87.70863783,1
Housing Clusters 41,41.97121983,-87.66124806,2
Housing Clusters 42,41.77493196,-87.59987091,1
Housing Clusters 43,41.85577153,-87.7338879,1
Housing Clusters 44,41.77959999,-87.64726896,1
Housing Clusters 45,41.78535412,-87.801098,1
Housing Clusters 46,41.99501546,-87.65851604,1
Housing Clusters 47,41.73588515,-87.66414272,3
Housing Clusters 48,41.69301591,-87.62776735,1
Housing Clusters 49,41.78379015,-87.61929956,1
Housing Clusters 50,41.65793125,-87.6159174,1
Housing Clusters 51,41.80744124,-87.74856678,1
Housing Clusters 52,41.67469008,-87.64051484,1
Housing Clusters 53,42.00577097,-87.66511109,1
Housing Clusters 54,41.88673275,-87.76983958,1
Housing Clusters 55,41.85597939,-87.65939108,3
Housing Clusters 56,41.94053116,-87.66638261,1
Housing Clusters 57,41.77343579,-87.56778382,1
Housing Clusters 58,41.91723226,-87.71353562,1
Housing Clusters 59,41.94022814,-87.65426349,1
Housing Clusters 60,41.88664623,-87.69655814,1
Housing Clusters 61,41.95639632,-87.74523589,3
Housing Clusters 62,41.81862835,-87.59951038,1
Housing Clusters 63,41.86482901,-87.70669366,1
Housing Clusters 64,41.78604936,-87.62047574,1
Housing Clusters 65,41.8586567,-87.67659689,1
Housing Clusters 66,41.86402666,-87.62262043,2
Housing Clusters 67,41.78196818,-87.59124125,1
Housing Clusters 68,41.8849038,-87.67585077,1
Housing Clusters 69,41.88996815,-87.7057294,1
Housing Clusters 70,41.95568502,-87.65472513,1
Housing Clusters 71,41.81666609,-87.60905996,1
Housing Clusters 72,41.87551427,-87.7417409,3
Housing Clusters 73,41.91696054,-87.75247249,1
Housing Clusters 74,41.75332086,-87.5954564,1
Housing Clusters 75,41.8544114,-87.62999188,2
Housing Clusters 76,41.90876874,-87.67689152,1
Housing Clusters 77,41.91299036,-87.72750391,1
Housing Clusters 78,41.71539824,-87.56871495,1
Housing Clusters 79,41.88227183,-87.66598098,1
Housing Clusters 80,41.78632805,-87.70513618,1
