Crime Clusters,Latitude,Longitude,Count
Crime Cluster 1,41.95286779,-87.74889119,3184
Crime Cluster 2,41.81112975,-87.60149199,890
Crime Cluster 3,41.79147642,-87.79530764,690
Crime Cluster 4,41.74665051,-87.65430016,2719
Crime Cluster 5,41.76554389,-87.67505568,2732
Crime Cluster 6,36.6194464,-91.68656568,1757
Crime Cluster 7,41.72945293,-87.5505684,2362
Crime Cluster 8,41.65455154,-87.61355973,880
Crime Cluster 9,41.95313823,-87.64918533,2422
Crime Cluster 10,41.70937229,-87.63985127,2845
Crime Cluster 11,41.8821898,-87.737478,3863
Crime Cluster 12,41.86447587,-87.71670995,5539
Crime Cluster 13,41.78389597,-87.73857109,1536
Crime Cluster 14,41.92461547,-87.65282862,1972
Crime Cluster 15,41.89090779,-87.61754814,2865
Crime Cluster 16,41.79688212,-87.64796796,2863
Crime Cluster 17,41.97511935,-87.90531948,879
Crime Cluster 18,41.69048893,-87.53635705,1564
Crime Cluster 19,41.7515087,-87.60644705,4466
Crime Cluster 20,41.9003041,-87.69415441,3212
Crime Cluster 21,41.91472275,-87.79978417,1359
Crime Cluster 22,41.84086321,-87.63161625,2641
Crime Cluster 23,41.90879947,-87.76030448,1840
Crime Cluster 24,41.92975688,-87.76191889,3783
Crime Cluster 25,41.78646688,-87.65015863,2365
Crime Cluster 26,41.6915389,-87.65315469,4284
Crime Cluster 27,41.98276166,-87.82072305,2805
Crime Cluster 28,41.87229592,-87.76497747,1193
Crime Cluster 29,41.89120497,-87.62691468,2693
Crime Cluster 30,41.98428513,-87.69393017,1607
Crime Cluster 31,41.76249655,-87.59199675,1463
Crime Cluster 32,41.98490776,-87.66817399,1330
Crime Cluster 33,41.89447007,-87.71000345,1088
Crime Cluster 34,41.95485991,-87.71624244,2494
Crime Cluster 35,41.94502906,-87.80481334,2202
Crime Cluster 36,41.78664044,-87.70070276,1359
Crime Cluster 37,41.7769881,-87.68507388,2391
Crime Cluster 38,41.75381418,-87.73966998,3199
Crime Cluster 39,41.71493463,-87.56989529,5670
Crime Cluster 40,41.96486166,-87.72618578,2518
Crime Cluster 41,41.73960289,-87.57225526,2513
Crime Cluster 42,41.78214251,-87.66362066,2740
Crime Cluster 43,41.75987942,-87.70344927,2916
Crime Cluster 44,42.01795131,-87.67130894,3482
Crime Cluster 45,41.93699529,-87.70060846,597
Crime Cluster 46,41.83049686,-87.61289188,2578
Crime Cluster 47,41.92872767,-87.73783585,3346
Crime Cluster 48,41.88205841,-87.65966597,1917
Crime Cluster 49,41.86303992,-87.73217191,2874
Crime Cluster 50,41.72188147,-87.61804197,2866
Crime Cluster 51,41.74857944,-87.59140131,653
Crime Cluster 52,41.97246748,-87.69557,1838
Crime Cluster 53,41.66201292,-87.55607046,663
Crime Cluster 54,41.85629802,-87.62363573,2372
Crime Cluster 55,41.78011623,-87.61516435,2352
Crime Cluster 56,41.98051112,-87.78828906,764
Crime Cluster 57,41.82156401,-87.68740068,5596
Crime Cluster 58,41.90432327,-87.63001816,5493
Crime Cluster 59,41.76512868,-87.68689432,1653
Crime Cluster 60,41.89790723,-87.75595394,2518
Crime Cluster 61,41.8050951,-87.62154914,1129
Crime Cluster 62,41.90108823,-87.72150758,4996
Crime Cluster 63,41.80558031,-87.66231341,5137
Crime Cluster 64,41.96819303,-87.74049295,3229
Crime Cluster 65,41.99035903,-87.73951626,1786
Crime Cluster 66,41.90163152,-87.7325545,2718
Crime Cluster 67,41.99753941,-87.6895492,2258
Crime Cluster 68,41.92459847,-87.68646926,2038
Crime Cluster 69,41.86597243,-87.65793186,1792
Crime Cluster 70,41.88330936,-87.62677961,538
Crime Cluster 71,41.68061299,-87.63034426,3538
Crime Cluster 72,42.00508055,-87.66652722,5719
Crime Cluster 73,41.88017682,-87.75582154,3919
Crime Cluster 74,42.00690043,-87.81425761,1365
Crime Cluster 75,41.66689926,-87.63873794,1732
Crime Cluster 76,41.85254225,-87.68042462,2076
Crime Cluster 77,41.8966097,-87.68076174,2932
Crime Cluster 78,41.76817042,-87.63471582,2240
Crime Cluster 79,41.91886936,-87.7168403,3154
Crime Cluster 80,41.90993155,-87.67816972,2561
Crime Cluster 81,41.68217702,-87.6758674,4031
Crime Cluster 82,41.84070107,-87.72919715,2359
Crime Cluster 83,41.99560713,-87.70134795,1825
Crime Cluster 84,41.94504334,-87.73151532,1979
Crime Cluster 85,41.79947859,-87.58808547,1739
Crime Cluster 86,41.85493696,-87.71527317,1096
Crime Cluster 87,41.70642408,-87.60501905,3502
Crime Cluster 88,41.99660582,-87.67896105,1902
Crime Cluster 89,41.75314406,-87.57458547,2581
Crime Cluster 90,41.70818128,-87.61868074,1380
Crime Cluster 91,41.7528901,-87.6461129,3094
Crime Cluster 92,41.69514366,-87.71719892,3820
Crime Cluster 93,41.72583697,-87.56435146,2868
Crime Cluster 94,41.82217411,-87.7038853,820
Crime Cluster 95,41.8808451,-87.69785292,1844
Crime Cluster 96,41.88200766,-87.7275051,2473
Crime Cluster 97,41.9773265,-87.80460662,2543
Crime Cluster 98,41.99796784,-87.78332118,753
Crime Cluster 99,41.95555752,-87.6750412,2033
Crime Cluster 100,41.90947328,-87.66797563,3989
Crime Cluster 101,41.77933231,-87.77262949,3437
Crime Cluster 102,41.94535196,-87.76497772,421
Crime Cluster 103,41.89327256,-87.63477555,1859
Crime Cluster 104,41.73796875,-87.64810103,2380
Crime Cluster 105,41.70519517,-87.56184633,3095
Crime Cluster 106,41.7439482,-87.69335699,1947
Crime Cluster 107,41.83774132,-87.65498503,1261
Crime Cluster 108,41.74683622,-87.71937758,3493
Crime Cluster 109,41.72133325,-87.65868066,3129
Crime Cluster 110,41.75650348,-87.58333231,2799
Crime Cluster 111,41.93568509,-87.64326587,1944
Crime Cluster 112,41.94211392,-87.65216938,1403
Crime Cluster 113,41.965708,-87.65529714,2516
Crime Cluster 114,41.75009292,-87.62461185,3222
Crime Cluster 115,41.99419306,-87.80569537,2738
Crime Cluster 116,41.73747023,-87.60519985,676
Crime Cluster 117,41.6988199,-87.62769808,1941
Crime Cluster 118,41.94453265,-87.82467847,2491
Crime Cluster 119,41.81246902,-87.63308894,2381
Crime Cluster 120,41.6561451,-87.60239979,2743
Crime Cluster 121,41.95275192,-87.70423272,1609
Crime Cluster 122,41.88549253,-87.67032033,3379
Crime Cluster 123,41.65141528,-87.53850642,1519
Crime Cluster 124,41.7933642,-87.67300975,3638
Crime Cluster 125,41.77940292,-87.63687904,3289
Crime Cluster 126,41.79963919,-87.60240212,827
Crime Cluster 127,41.79815322,-87.68899516,2950
Crime Cluster 128,41.77589193,-87.72710409,2048
Crime Cluster 129,41.71706251,-87.53617955,2217
Crime Cluster 130,41.80746931,-87.72463264,503
Crime Cluster 131,41.82037265,-87.60568431,5217
Crime Cluster 132,41.85563363,-87.6663234,2580
Crime Cluster 133,41.95286525,-87.78178747,1335
Crime Cluster 134,41.69700685,-87.68280786,4464
Crime Cluster 135,41.96684724,-87.77383994,3702
Crime Cluster 136,41.76135643,-87.60659901,4559
Crime Cluster 137,41.86380019,-87.72354418,1801
Crime Cluster 138,41.89040989,-87.64784985,1481
Crime Cluster 139,41.85107493,-87.70330958,2170
Crime Cluster 140,41.6779836,-87.62059328,3127
Crime Cluster 141,41.73445099,-87.63883836,4107
Crime Cluster 142,41.74981304,-87.55148337,1850
Crime Cluster 143,41.73938368,-87.55847853,747
Crime Cluster 144,41.99093225,-87.65856197,1351
Crime Cluster 145,41.81741058,-87.6221176,1889
Crime Cluster 146,41.78658177,-87.68826511,615
Crime Cluster 147,41.74918782,-87.63571511,2927
Crime Cluster 148,41.79360034,-87.6623527,3374
Crime Cluster 149,41.92263081,-87.69711607,4348
Crime Cluster 150,41.76992761,-87.58546592,3193
Crime Cluster 151,41.92923291,-87.70970998,615
Crime Cluster 152,41.70320644,-87.70119797,1731
Crime Cluster 153,41.7611051,-87.56310489,2488
Crime Cluster 154,41.76924744,-87.61354909,1772
Crime Cluster 155,41.90849977,-87.77332946,3264
Crime Cluster 156,41.75870592,-87.632557,346
Crime Cluster 157,41.92368123,-87.6695357,1644
Crime Cluster 158,41.77556546,-87.60411324,1681
Crime Cluster 159,41.91079103,-87.65101894,2140
Crime Cluster 160,41.88332662,-87.6327176,1001
Crime Cluster 161,41.87405779,-87.74643654,2182
Crime Cluster 162,41.89653108,-87.76793279,3889
Crime Cluster 163,41.7750715,-87.64880304,1971
Crime Cluster 164,41.9219578,-87.75050619,3775
Crime Cluster 165,41.8413036,-87.71917253,2006
Crime Cluster 166,41.90903835,-87.72566165,1575
Crime Cluster 167,41.94500424,-87.68702729,1673
Crime Cluster 168,41.68023154,-87.6411519,3834
Crime Cluster 169,41.86783154,-87.62575196,763
Crime Cluster 170,41.66889427,-87.62587168,2610
Crime Cluster 171,41.69824671,-87.61777151,1035
Crime Cluster 172,41.77167343,-87.6613445,2110
Crime Cluster 173,41.72564995,-87.58041839,3085
Crime Cluster 174,41.70808875,-87.65221757,1583
Crime Cluster 175,41.9354152,-87.78043767,2599
Crime Cluster 176,41.78529304,-87.71627992,1479
Crime Cluster 177,41.91659332,-87.73232826,1283
Crime Cluster 178,41.77690768,-87.70468246,3111
Crime Cluster 179,41.81049164,-87.70735894,2676
Crime Cluster 180,41.89330372,-87.7211579,2495
Crime Cluster 181,41.68898101,-87.60951989,1223
Crime Cluster 182,41.91017787,-87.69145546,4502
Crime Cluster 183,41.90926289,-87.74656554,4157
Crime Cluster 184,41.88202895,-87.74766323,1890
Crime Cluster 185,41.87657947,-87.62823097,1459
Crime Cluster 186,41.90937072,-87.63767198,2763
Crime Cluster 187,41.79395987,-87.63257059,1430
Crime Cluster 188,41.83091214,-87.67948434,4698
Crime Cluster 189,41.84449562,-87.70907393,747
Crime Cluster 190,41.93079406,-87.79688815,1870
Crime Cluster 191,41.77807217,-87.78816036,587
Crime Cluster 192,41.65445161,-87.5467259,3524
Crime Cluster 193,41.8277118,-87.62147678,2936
Crime Cluster 194,41.85260493,-87.72772706,1180
Crime Cluster 195,41.90042484,-87.64131183,2034
Crime Cluster 196,41.76304437,-87.65407417,2958
Crime Cluster 197,41.85738305,-87.65104265,1122
Crime Cluster 198,41.80718919,-87.67151447,2011
