Restaurant Clusters,Latitude,Longitude,Count
Restaurant Clusters 1,41.91409726,-87.71185222,44
Restaurant Clusters 2,41.74404739,-87.60462803,18
Restaurant Clusters 3,41.81602943,-87.6913532,35
Restaurant Clusters 4,41.78411238,-87.64419298,64
Restaurant Clusters 5,41.87144981,-87.62703739,57
Restaurant Clusters 6,41.97277887,-87.65910556,44
Restaurant Clusters 7,41.98613511,-87.71244096,90
Restaurant Clusters 8,41.87156902,-87.68600036,84
Restaurant Clusters 9,41.94484319,-87.82025535,46
Restaurant Clusters 10,41.91734271,-87.65055849,86
Restaurant Clusters 11,41.98416547,-87.77617413,18
Restaurant Clusters 12,42.0085364,-87.91442844,241
Restaurant Clusters 13,41.93576077,-87.74676867,87
Restaurant Clusters 14,41.96062968,-87.75518639,118
Restaurant Clusters 15,41.83800794,-87.72551257,77
Restaurant Clusters 16,41.87681112,-87.76204747,57
Restaurant Clusters 17,41.88156982,-87.6393126,32
Restaurant Clusters 18,41.93450681,-87.67813974,69
Restaurant Clusters 19,41.80430687,-87.65609051,94
Restaurant Clusters 20,41.81424346,-87.63100059,66
Restaurant Clusters 21,41.67630382,-87.62480172,12
Restaurant Clusters 22,41.75030485,-87.68263918,23
Restaurant Clusters 23,41.95678337,-87.70283874,53
Restaurant Clusters 24,41.91823422,-87.69852536,47
Restaurant Clusters 25,41.79859008,-87.58773557,26
Restaurant Clusters 26,41.77650335,-87.6102989,50
Restaurant Clusters 27,41.80886154,-87.7288956,69
Restaurant Clusters 28,42.01780133,-87.67283529,31
Restaurant Clusters 29,42.01098332,-87.6895025,157
Restaurant Clusters 30,41.94687908,-87.65272614,21
Restaurant Clusters 31,41.73671204,-87.55039092,57
Restaurant Clusters 32,41.93332885,-87.6914571,37
Restaurant Clusters 33,41.86871622,-87.64128923,92
Restaurant Clusters 34,41.89805759,-87.72146516,182
Restaurant Clusters 35,41.78933075,-87.73964153,64
Restaurant Clusters 36,42.00807845,-87.66521486,53
Restaurant Clusters 37,41.96801046,-87.73006755,77
Restaurant Clusters 38,41.74750973,-87.64385475,5
Restaurant Clusters 39,41.69223333,-87.65186723,39
Restaurant Clusters 40,41.90137779,-87.64563354,82
Restaurant Clusters 41,41.91006559,-87.759886,51
Restaurant Clusters 42,41.93008553,-87.70630736,26
Restaurant Clusters 43,41.97719791,-87.7681819,37
Restaurant Clusters 44,41.93913658,-87.72537991,114
Restaurant Clusters 45,41.77742837,-87.68433152,22
Restaurant Clusters 46,41.94241817,-87.64605701,24
Restaurant Clusters 47,41.98130512,-87.83963548,9
Restaurant Clusters 48,41.75842714,-87.56235503,35
Restaurant Clusters 49,41.94807582,-87.71034789,57
Restaurant Clusters 50,41.98572109,-87.82450247,79
Restaurant Clusters 51,41.83560236,-87.64764429,80
Restaurant Clusters 52,41.74290049,-87.71979671,19
Restaurant Clusters 53,41.91087944,-87.63593804,27
Restaurant Clusters 54,41.82729077,-87.65564461,42
Restaurant Clusters 55,41.83284191,-87.61871442,113
Restaurant Clusters 56,41.73472391,-87.58646305,74
Restaurant Clusters 57,41.93840776,-87.7879763,21
Restaurant Clusters 58,41.87116851,-87.65458835,21
Restaurant Clusters 59,41.88026799,-87.71000223,77
Restaurant Clusters 60,41.93878086,-87.766074,26
Restaurant Clusters 61,41.995975,-87.7017406,20
Restaurant Clusters 62,41.91716044,-87.74672884,98
Restaurant Clusters 63,41.96501071,-87.68797641,44
Restaurant Clusters 64,41.89683242,-87.68441887,26
Restaurant Clusters 65,41.71762481,-87.68000629,38
Restaurant Clusters 66,41.74970135,-87.66417395,46
Restaurant Clusters 67,41.7056193,-87.61959129,142
Restaurant Clusters 68,41.68438509,-87.64212092,43
Restaurant Clusters 69,41.84955734,-87.72654644,71
Restaurant Clusters 70,41.76970445,-87.57781975,27
Restaurant Clusters 71,41.80321603,-87.66494029,57
Restaurant Clusters 72,41.95196599,-87.67655051,69
Restaurant Clusters 73,41.92068908,-87.6892633,28
