Safe Clusters,Latitude,Longitude,Count
Safe clusters 1,41.96042517,-87.67908875,1
Safe clusters 2,41.81899279,-87.59945846,4
Safe clusters 3,41.92606041,-87.64380632,1
Safe clusters 4,41.77872323,-87.64855551,3
Safe clusters 5,41.77928099,-87.68967949,1
Safe clusters 6,41.94658813,-87.75282534,1
Safe clusters 7,41.88664623,-87.69655814,1
Safe clusters 8,41.8531163,-87.72362372,3
Safe clusters 9,41.87638462,-87.71361194,1
Safe clusters 10,41.87922958,-87.67166807,1
Safe clusters 11,41.97247629,-87.7489057,1
Safe clusters 12,41.9689735,-87.67403032,1
Safe clusters 13,41.80155626,-87.74338173,1
Safe clusters 14,41.80078286,-87.71473662,1
Safe clusters 15,41.88963056,-87.64701877,2
Safe clusters 16,41.93496739,-87.69424877,1
Safe clusters 17,41.68487407,-87.6180464,1
Safe clusters 18,41.85007411,-87.71400931,2
Safe clusters 19,41.88245846,-87.68441593,2
Safe clusters 20,41.94539532,-87.81957571,1
Safe clusters 21,41.96960627,-87.66194023,2
Safe clusters 22,41.80876234,-87.62377948,2
Safe clusters 23,41.7800434,-87.77667702,1
Safe clusters 24,41.93090625,-87.7098973,1
Safe clusters 25,41.81929539,-87.616987,4
Safe clusters 26,41.76325083,-87.66371978,1
Safe clusters 27,41.85592023,-87.65762334,4
Safe clusters 28,41.92631694,-87.74647822,2
Safe clusters 29,41.96098856,-87.70695788,1
Safe clusters 30,41.92562407,-87.70132139,2
Safe clusters 31,41.8918271,-87.7065445,7
Safe clusters 32,41.95260686,-87.67630339,2
Safe clusters 33,42.00220857,-87.66151468,1
Safe clusters 34,41.7824496,-87.65591346,1
Safe clusters 35,41.72231207,-87.57467177,1
Safe clusters 36,41.71163732,-87.59263233,1
Safe clusters 37,41.68280034,-87.5595022,1
Safe clusters 38,41.93484311,-87.65899214,1
Safe clusters 39,41.77813215,-87.70402459,2
Safe clusters 40,41.80241312,-87.63305258,1
Safe clusters 41,41.93155444,-87.74228122,1
Safe clusters 42,41.98948324,-87.67331241,2
Safe clusters 43,41.82255599,-87.62639844,2
Safe clusters 44,41.90322012,-87.64090266,5
Safe clusters 45,41.88417173,-87.63342816,2
Safe clusters 46,41.97595828,-87.69147012,1
Safe clusters 47,41.72775632,-87.54916926,2
Safe clusters 48,41.71000549,-87.55533248,1
Safe clusters 49,41.74014819,-87.71989956,1
Safe clusters 50,41.73164453,-87.65793186,1
Safe clusters 51,41.75815411,-87.68810611,1
Safe clusters 52,41.84567934,-87.66594297,1
Safe clusters 53,41.78717677,-87.59933937,2
Safe clusters 54,41.97235677,-87.67492225,1
Safe clusters 55,41.70582724,-87.70112018,1
Safe clusters 56,41.68098091,-87.53786372,1
Safe clusters 57,41.90959014,-87.63324548,1
Safe clusters 58,41.83717695,-87.62203977,1
Safe clusters 59,41.95769221,-87.79754403,1
Safe clusters 60,41.71473206,-87.67566261,1
Safe clusters 61,41.93403918,-87.71836184,1
Safe clusters 62,41.7705334,-87.64367834,1
Safe clusters 63,41.85923592,-87.7202403,1
Safe clusters 64,41.80786897,-87.70805772,2
Safe clusters 65,41.98478807,-87.65828679,3
Safe clusters 66,41.90500156,-87.64960399,3
Safe clusters 67,41.71740777,-87.65464519,1
Safe clusters 68,41.94788396,-87.66502889,1
Safe clusters 69,41.93104976,-87.79077219,1
Safe clusters 70,41.8475664,-87.67457907,1
Safe clusters 71,41.99093659,-87.80161823,1
Safe clusters 72,41.91586533,-87.7109513,5
Safe clusters 73,41.69492897,-87.60010471,1
Safe clusters 74,41.98752226,-87.68971871,1
Safe clusters 75,41.9899336,-87.74374961,1
Safe clusters 76,41.77598164,-87.60205109,3
Safe clusters 77,41.9012249,-87.66758206,1
Safe clusters 78,41.99802217,-87.69463113,1
Safe clusters 79,42.0085364,-87.91442844,1
Safe clusters 80,41.80345658,-87.6486871,1
Safe clusters 81,41.75421821,-87.5943479,2
Safe clusters 82,41.95049659,-87.77338017,1
Safe clusters 83,41.96174021,-87.65707341,4
Safe clusters 84,41.88375492,-87.67569075,3
Safe clusters 85,41.87082807,-87.71953054,2
Safe clusters 86,41.95404881,-87.65158188,3
Safe clusters 87,41.77916282,-87.6770312,1
Safe clusters 88,41.93636176,-87.70273825,1
Safe clusters 89,41.78298961,-87.62092441,5
Safe clusters 90,41.93033255,-87.80633049,2
Safe clusters 91,41.86425144,-87.65768562,3
Safe clusters 92,41.92644426,-87.76143517,1
Safe clusters 93,41.85740083,-87.66937132,2
Safe clusters 94,41.74050178,-87.60483327,1
Safe clusters 95,41.9093657,-87.69410522,3
Safe clusters 96,41.95383314,-87.78811835,2
Safe clusters 97,41.91873767,-87.79016747,2
Safe clusters 98,41.79090239,-87.64576369,2
Safe clusters 99,41.99344157,-87.69964542,1
Safe clusters 100,41.96319547,-87.76461955,1
Safe clusters 101,41.75308619,-87.61216496,1
Safe clusters 102,41.97865813,-87.66837876,1
Safe clusters 103,41.78267854,-87.64186105,4
Safe clusters 104,42.00482241,-87.77332164,2
Safe clusters 105,41.96135865,-87.69854417,1
Safe clusters 106,41.86671618,-87.71750068,3
Safe clusters 107,41.76887381,-87.67367256,1
Safe clusters 108,41.70344686,-87.7167295,1
Safe clusters 109,41.95242606,-87.70514069,1
Safe clusters 110,41.75981502,-87.60298339,1
Safe clusters 111,41.90058007,-87.75198472,1
Safe clusters 112,41.92295629,-87.72114367,1
