Cluster Points,Latitude,Longitude,Count
Cluster Points 1,41.8099805,-87.7015897,3
Cluster Points 2,41.8611282,-87.9405319,10
Cluster Points 3,41.94053494,-87.7158811,1
Cluster Points 4,41.7309081,-87.55058005,1
Cluster Points 5,41.7553335,-87.58971887,4
Cluster Points 6,41.6651674,-87.6345507,7
Cluster Points 7,41.86963493,-87.62774536,1
Cluster Points 8,41.74538511,-87.65152104,5
Cluster Points 9,41.77497986,-87.74026493,2
Cluster Points 10,41.8682831,-87.6996094,7
Cluster Points 11,41.85722155,-87.65916464,2
Cluster Points 12,41.9406954,-87.7430577,4
Cluster Points 13,41.9578811,-87.6562228,6
Cluster Points 14,41.8525341,-87.6530452,4
Cluster Points 15,41.7446566,-87.6291473,2
Cluster Points 16,41.8284805,-87.6387354,2
Cluster Points 17,42.01649345,-87.6868465,3
Cluster Points 18,41.8008709,-87.6646754,1
Cluster Points 19,41.934315,-87.6615879,13
Cluster Points 20,41.7802511,-87.6940204,1
Cluster Points 21,41.8130047,-87.61336905,2
Cluster Points 22,41.70056115,-87.67962025,10
Cluster Points 23,41.77760136,-87.71536111,2
Cluster Points 24,41.8935004,-87.6579588,6
Cluster Points 25,41.8568699,-87.73711,1
Cluster Points 26,41.7634223,-87.6415021,1
Cluster Points 27,41.8114214,-87.7311988,2
Cluster Points 28,41.74709087,-87.68155353,4
Cluster Points 29,41.70274743,-87.53770303,1
Cluster Points 30,41.9235942,-87.795918,3
Cluster Points 31,41.6807603,-87.6715496,4
Cluster Points 32,41.94413953,-87.81018303,4
Cluster Points 33,41.8033479,-87.5816686,2
Cluster Points 34,41.6518928,-87.5750726,2
Cluster Points 35,41.7705939,-87.60664068,4
Cluster Points 36,41.7634107,-87.5780877,2
Cluster Points 37,41.763781,-87.6200391,1
Cluster Points 38,41.9768203,-87.8243271,1
Cluster Points 39,41.7363719,-87.56900873,5
Cluster Points 40,41.7395516,-87.7142663,6
Cluster Points 41,41.82536246,-87.66886523,6
Cluster Points 42,41.77067793,-87.67612755,1
Cluster Points 43,41.8702216,-87.7718461,2
Cluster Points 44,41.9611997,-87.73719073,2
Cluster Points 45,41.9528339,-87.7918662,8
Cluster Points 46,41.842386,-87.65941885,3
Cluster Points 47,41.9151752,-87.7399932,6
Cluster Points 48,41.7530197,-87.6101244,2
Cluster Points 49,41.7862043,-87.7070086,7
Cluster Points 50,41.7705761,-87.6494115,1
Cluster Points 51,41.9491369,-87.68910023,17
Cluster Points 52,41.7056391,-87.7354045,1
Cluster Points 53,41.74021853,-87.61029754,3
Cluster Points 54,41.69709,-87.5607346,2
Cluster Points 55,41.848879,-87.7229974,1
Cluster Points 56,41.6923465,-87.6433342,13
Cluster Points 57,41.7987882,-87.71805012,4
Cluster Points 58,41.85559574,-87.68084238,1
Cluster Points 59,41.786742,-87.78771195,7
Cluster Points 60,41.87824682,-87.69938344,1
Cluster Points 61,41.7592887,-87.60251297,8
Cluster Points 62,41.9087534,-87.6725226,2
Cluster Points 63,41.6903845,-87.6603779,3
Cluster Points 64,41.7068231,-87.6161865,2
Cluster Points 65,41.7354583,-87.558307,3
Cluster Points 66,41.9971131,-87.8070106,2
Cluster Points 67,41.8462601,-87.7017093,2
Cluster Points 68,41.7889933,-87.7658236,1
Cluster Points 69,41.6807266,-87.6199896,5
Cluster Points 70,41.8763504,-87.6323904,15
Cluster Points 71,41.9393308,-87.72672828,1
Cluster Points 72,41.75862535,-87.55572873,2
Cluster Points 73,41.94684621,-87.74621417,1
Cluster Points 74,41.9679915,-87.750511,3
Cluster Points 75,41.8907372,-87.6266809,1
Cluster Points 76,41.90278477,-87.71389917,3
Cluster Points 77,41.9223777,-87.7022307,6
Cluster Points 78,41.8005903,-87.6501773,3
Cluster Points 79,41.7530464,-87.6398042,2
Cluster Points 80,41.7079245,-87.5762709,1
Cluster Points 81,41.86238018,-87.66407967,1
Cluster Points 82,41.9269092,-87.7056232,1
Cluster Points 83,41.9330794,-87.767519,2
Cluster Points 84,41.9829975,-87.7496357,3
Cluster Points 85,41.7368109,-87.5934965,2
Cluster Points 86,41.9922066,-87.6651954,3
Cluster Points 87,41.7870058,-87.67615563,1
Cluster Points 88,41.7808909,-87.6031482,4
Cluster Points 89,41.9291735,-87.7538824,5
Cluster Points 90,41.9697161,-87.6888704,1
Cluster Points 91,41.8020697,-87.6801593,2
Cluster Points 92,41.7877287,-87.6692859,7
Cluster Points 93,41.71588767,-87.6570312,1
Cluster Points 94,41.9091938,-87.7069778,7
Cluster Points 95,41.7952225,-87.6852966,8
Cluster Points 96,41.743003,-87.668032,1
Cluster Points 97,41.8537275,-87.71650346,1
Cluster Points 98,41.902083,-87.7692748,9
Cluster Points 99,41.9345118,-87.6324027,1
Cluster Points 100,41.977438,-87.791455,1
Cluster Points 101,41.88923218,-87.68223194,1
Cluster Points 102,41.7697508,-87.5813155,9
Cluster Points 103,41.7740666,-87.6239578,5
Cluster Points 104,41.7917108,-87.6355427,4
Cluster Points 105,41.95314077,-87.7052372,1
Cluster Points 106,41.7806296,-87.67151105,4
Cluster Points 107,41.8183119,-87.697352,2
Cluster Points 108,41.9682837,-87.8042834,1
Cluster Points 109,41.95311613,-87.7723052,5
Cluster Points 110,41.9531494,-87.8072677,4
Cluster Points 111,41.9331115,-87.6854848,1
Cluster Points 112,41.6551183,-87.5471447,5
Cluster Points 113,41.9126673,-87.6605419,6
Cluster Points 114,41.7585643,-87.6320642,5
Cluster Points 115,41.8831004,-87.7478372,3
Cluster Points 116,41.91826764,-87.72792188,1
Cluster Points 117,41.72695875,-87.5817996,1
Cluster Points 118,41.8792076,-87.648452,1
Cluster Points 119,41.9519823,-87.6689237,2
Cluster Points 120,41.6766213,-87.54236305,3
Cluster Points 121,41.7523134,-87.6360947,6
Cluster Points 122,41.73233468,-87.6547564,4
Cluster Points 123,41.8879551,-87.6204787,1
Cluster Points 124,41.8809025,-87.7206775,2
Cluster Points 125,41.8529041,-87.6905391,3
Cluster Points 126,41.9701993,-87.7903926,2
Cluster Points 127,41.73253823,-87.60475013,4
Cluster Points 128,41.77098753,-87.5959235,4
Cluster Points 129,41.930167,-87.6727696,3
Cluster Points 130,41.7461408,-87.57660573,5
Cluster Points 131,41.7596251,-87.7728375,2
Cluster Points 132,41.7452856,-87.7353804,15
Cluster Points 133,41.80985772,-87.70903523,2
Cluster Points 134,41.858776,-87.7310619,12
Cluster Points 135,41.9777782,-87.8119407,7
Cluster Points 136,41.7090239,-87.5620999,1
Cluster Points 137,41.7572509,-87.71844183,3
Cluster Points 138,41.76473858,-87.65820685,4
Cluster Points 139,41.6474831,-87.61690845,4
Cluster Points 140,41.7843625,-87.6389042,6
Cluster Points 141,41.7370423,-87.6882134,6
Cluster Points 142,41.9062537,-87.7288507,4
Cluster Points 143,41.9737022,-87.8464257,1
Cluster Points 144,41.75441797,-87.64299437,9
Cluster Points 145,41.7219164,-87.6262397,3
Cluster Points 146,41.76802812,-87.59314027,1
Cluster Points 147,41.9443153,-87.79272577,2
Cluster Points 148,41.9841748,-87.6580359,1
Cluster Points 149,41.7623591,-87.6831101,2
Cluster Points 150,42.0036294,-87.7082821,4
Cluster Points 151,41.9205241,-87.7505004,2
Cluster Points 152,41.94420883,-87.76587643,9
Cluster Points 153,41.862288,-87.6498593,10
Cluster Points 154,41.86208315,-87.6859174,2
Cluster Points 155,41.9797039,-87.6840107,1
Cluster Points 156,41.95219661,-87.67914031,3
Cluster Points 157,41.66808515,-87.6223362,1
Cluster Points 158,41.8520363,-87.6611313,4
Cluster Points 159,41.6939632,-87.6208343,5
Cluster Points 160,41.94634162,-87.7296264,6
Cluster Points 161,41.93799263,-87.7092031,11
Cluster Points 162,41.9028763,-87.7019616,1
Cluster Points 163,41.95054103,-87.7570425,1
Cluster Points 164,41.8960978,-87.77327097,5
Cluster Points 165,41.7488718,-87.640318,5
Cluster Points 166,41.9376365,-87.73333995,1
Cluster Points 167,42.01661995,-87.6704315,1
Cluster Points 168,41.7868856,-87.68362932,1
Cluster Points 169,41.9182476,-87.7118892,6
Cluster Points 170,41.8054256,-87.6721787,1
Cluster Points 171,41.9022039,-87.7595469,3
Cluster Points 172,41.69130553,-87.66861776,2
Cluster Points 173,41.90861868,-87.68081332,2
Cluster Points 174,42.00845735,-87.6818039,2
Cluster Points 175,41.7623523,-87.59229873,1
Cluster Points 176,41.75192769,-87.60459535,3
Cluster Points 177,41.7869501,-87.7761302,4
Cluster Points 178,41.7377306,-87.5989716,2
Cluster Points 179,41.9918269,-87.7905446,1
Cluster Points 180,41.7695374,-87.6372485,1
Cluster Points 181,41.94871401,-87.69706084,12
Cluster Points 182,41.82954485,-87.6127346,3
Cluster Points 183,41.9529519,-87.79708637,3
Cluster Points 184,41.77472903,-87.65599893,4
Cluster Points 185,41.8165421,-87.6230265,2
Cluster Points 186,41.77916573,-87.66639242,5
Cluster Points 187,41.9665658,-87.7157465,2
Cluster Points 188,41.7941705,-87.6548627,1
Cluster Points 189,41.9059111,-87.7521778,2
Cluster Points 190,41.74272837,-87.5622767,3
Cluster Points 191,41.9244358,-87.7341124,8
Cluster Points 192,41.8176783,-87.68411095,4
Cluster Points 193,41.6837276,-87.559354,2
Cluster Points 194,41.8007245,-87.75273935,1
Cluster Points 195,41.77987547,-87.70275017,1
Cluster Points 196,41.7896047,-87.7206112,4
Cluster Points 197,41.96090495,-87.7472988,5
Cluster Points 198,41.93473395,-87.6423375,3
Cluster Points 199,41.9735197,-87.747544,5
Cluster Points 200,41.7597107,-87.7100117,2
Cluster Points 201,41.829009,-87.6399584,4
Cluster Points 202,41.74828307,-87.5827908,2
Cluster Points 203,41.86091144,-87.7120804,14
Cluster Points 204,41.7677169,-87.7236947,3
Cluster Points 205,41.8465448,-87.6889008,2
Cluster Points 206,41.7629541,-87.674704,7
Cluster Points 207,41.7305562,-87.5540355,1
Cluster Points 208,41.93210087,-87.76094217,6
Cluster Points 209,41.7863854,-87.69421047,2
Cluster Points 210,41.87384767,-87.69518345,1
Cluster Points 211,41.94478391,-87.73863992,2
Cluster Points 212,41.8827908,-87.7071121,3
Cluster Points 213,41.7931735,-87.6031311,1
Cluster Points 214,41.7757045,-87.75271348,3
Cluster Points 215,41.73666543,-87.61069389,4
Cluster Points 216,41.7396548,-87.6461471,4
Cluster Points 217,41.7166209,-87.6770893,2
Cluster Points 218,41.877562,-87.7549488,2
Cluster Points 219,41.9306201,-87.7322833,5
Cluster Points 220,41.8956094,-87.7016721,4
Cluster Points 221,41.67492214,-87.61906506,1
Cluster Points 222,41.9320583,-87.7380288,8
Cluster Points 223,41.7619228,-87.7417137,2
Cluster Points 224,41.845389,-87.705438,10
Cluster Points 225,41.931501,-87.7490526,2
Cluster Points 226,41.8550936,-87.6456014,7
Cluster Points 227,41.7846118,-87.6910859,7
Cluster Points 228,41.84683137,-87.7185677,2
Cluster Points 229,41.74699645,-87.7083462,1
Cluster Points 230,41.9538882,-87.7424327,2
Cluster Points 231,41.7463992,-87.5564388,1
Cluster Points 232,41.68217273,-87.65341107,1
Cluster Points 233,41.948146,-87.7674217,2
Cluster Points 234,41.8744672,-87.70957545,2
Cluster Points 235,41.8907839,-87.635545,3
Cluster Points 236,41.9501886,-87.7140414,2
Cluster Points 237,41.76968012,-87.61601106,2
Cluster Points 238,41.7532472,-87.68645373,3
Cluster Points 239,41.766575,-87.6168901,9
Cluster Points 240,41.965715,-87.6912397,2
Cluster Points 241,41.82629035,-87.67456495,4
Cluster Points 242,41.9489777,-87.6579379,1
Cluster Points 243,41.7370096,-87.5781404,3
Cluster Points 244,41.7216707,-87.6321686,1
Cluster Points 245,41.7144632,-87.57355,16
Cluster Points 246,41.71242675,-87.60762405,1
Cluster Points 247,41.74191544,-87.5712851,2
Cluster Points 248,41.7807494,-87.639778,3
Cluster Points 249,41.7099565,-87.5513908,2
Cluster Points 250,41.7492096,-87.5516134,1
Cluster Points 251,41.72726515,-87.55603465,4
Cluster Points 252,41.694931,-87.65461,2
Cluster Points 253,41.9705491,-87.6804572,3
Cluster Points 254,41.8952567,-87.6623933,4
Cluster Points 255,41.891637,-87.6720405,2
Cluster Points 256,41.8334648,-87.6581925,10
Cluster Points 257,41.9175306,-87.6947141,1
Cluster Points 258,41.7587671,-87.5845758,2
Cluster Points 259,41.8117224,-87.6334371,4
Cluster Points 260,41.8570763,-87.7223995,8
Cluster Points 261,41.999284,-87.7045674,6
Cluster Points 262,41.937283,-87.7717086,1
Cluster Points 263,41.7009048,-87.5340715,1
Cluster Points 264,41.9427399,-87.706498,6
Cluster Points 265,41.94148697,-87.72313753,3
Cluster Points 266,41.80738965,-87.69231643,4
Cluster Points 267,41.7651459,-87.5859097,8
Cluster Points 268,41.77198517,-87.6831044,1
Cluster Points 269,41.7384297,-87.6360923,5
Cluster Points 270,41.8749948,-87.7182159,1
Cluster Points 271,41.6817533,-87.6855805,3
Cluster Points 272,41.9387617,-87.7517667,6
Cluster Points 273,41.9289633,-87.6561405,4
Cluster Points 274,41.9885744,-87.6993299,2
Cluster Points 275,41.79733385,-87.67525868,1
Cluster Points 276,41.7312905,-87.6253038,3
Cluster Points 277,41.74475575,-87.56582705,2
Cluster Points 278,41.7828096,-87.689831,2
Cluster Points 279,41.9651157,-87.663179,1
Cluster Points 280,41.75819785,-87.58652765,1
Cluster Points 281,41.7659863,-87.66284738,3
Cluster Points 282,41.7828667,-87.6861806,1
Cluster Points 283,41.6771803,-87.6184239,3
Cluster Points 284,41.9563126,-87.7932095,7
Cluster Points 285,41.8017405,-87.7258494,4
Cluster Points 286,41.9593022,-87.7142979,4
Cluster Points 287,41.8568627,-87.6668098,1
Cluster Points 288,41.8040089,-87.667287,3
Cluster Points 289,41.978201,-87.6550332,9
Cluster Points 290,41.7075917,-87.6722432,4
Cluster Points 291,41.8272974,-87.6977758,1
Cluster Points 292,41.9091343,-87.7860307,1
Cluster Points 293,41.8957682,-87.622054,1
Cluster Points 294,41.87282575,-87.70097675,1
Cluster Points 295,41.9114794,-87.744098,3
Cluster Points 296,41.977175,-87.7975263,12
Cluster Points 297,41.7936005,-87.6986753,1
Cluster Points 298,41.8007234,-87.7118627,1
Cluster Points 299,41.9480384,-87.7188928,7
Cluster Points 300,41.75119572,-87.58604277,14
