SexOffenders Clusters,Latitude,Longitude,Count
SexOffenders Cluster 1,41.7592887,-87.60251297,2
SexOffenders Cluster 2,40.78775288,-73.94732683,1
SexOffenders Cluster 3,34.1535771,-118.2566483,2
SexOffenders Cluster 4,27.8698159,-82.4986074,6
SexOffenders Cluster 5,47.3865929,-122.233727,3
SexOffenders Cluster 6,39.696613,-104.95613,10
SexOffenders Cluster 7,29.8013261,-95.4361395,2
SexOffenders Cluster 8,41.4490765,-81.587255,1
SexOffenders Cluster 9,36.0107404,-95.909426,1
SexOffenders Cluster 10,41.94725375,-87.765863,2
SexOffenders Cluster 11,38.3291897,-75.0876628,4
SexOffenders Cluster 12,35.8335322,-86.3936367,1
SexOffenders Cluster 13,35.317078,-82.4672886,1
SexOffenders Cluster 14,43.2195,-75.426311,4
SexOffenders Cluster 15,39.29194,-76.6265789,3
SexOffenders Cluster 16,41.95049395,-87.6792623,1
SexOffenders Cluster 17,37.2076488,-93.2945627,2
SexOffenders Cluster 18,41.6107764,-74.5868863,6
SexOffenders Cluster 19,39.0107069,-94.7731115,7
SexOffenders Cluster 20,39.9182114,-86.0634504,1
SexOffenders Cluster 21,41.77514316,-87.74187684,1
SexOffenders Cluster 22,40.439085,-80.0735202,3
SexOffenders Cluster 23,41.86182843,-87.66435268,6
SexOffenders Cluster 24,41.8551871,-87.71872568,3
SexOffenders Cluster 25,41.908041,-87.7394615,4
SexOffenders Cluster 26,41.69415805,-87.6712748,7
SexOffenders Cluster 27,32.7033791,-117.0852921,6
SexOffenders Cluster 28,41.80982247,-87.71077112,1
SexOffenders Cluster 29,39.789922,-105.105006,2
SexOffenders Cluster 30,39.91448,-104.927853,6
SexOffenders Cluster 31,41.72977348,-87.55463504,1
SexOffenders Cluster 32,41.4044162,-87.3285835,1
SexOffenders Cluster 33,41.87476387,-87.69611963,10
SexOffenders Cluster 34,34.0468261,-118.3635913,1
SexOffenders Cluster 35,41.7877287,-87.6692859,1
SexOffenders Cluster 36,40.9012482,-73.9988241,1
SexOffenders Cluster 37,39.81973365,-105.1019606,1
SexOffenders Cluster 38,36.23501,-95.989562,1
SexOffenders Cluster 39,36.133377,-95.841317,4
SexOffenders Cluster 40,41.7525048,-87.7342175,2
SexOffenders Cluster 41,41.8117224,-87.6334371,4
SexOffenders Cluster 42,41.76473601,-87.65856274,4
SexOffenders Cluster 43,41.9609881,-87.9396165,2
SexOffenders Cluster 44,40.6952685,-73.4641877,2
SexOffenders Cluster 45,40.77071968,-73.98576326,1
SexOffenders Cluster 46,41.7340656,-87.6557192,16
SexOffenders Cluster 47,33.895696,-118.3091454,1
SexOffenders Cluster 48,42.0021898,-87.70648667,3
SexOffenders Cluster 49,41.7451114,-87.6475107,10
SexOffenders Cluster 50,41.9841748,-87.6580359,7
SexOffenders Cluster 51,41.9427399,-87.706498,1
SexOffenders Cluster 52,41.77916573,-87.66639242,2
SexOffenders Cluster 53,41.786742,-87.78771195,1
SexOffenders Cluster 54,34.0206204,-118.3042251,3
SexOffenders Cluster 55,41.9623124,-87.7334876,4
SexOffenders Cluster 56,41.7119479,-87.6090147,3
SexOffenders Cluster 57,41.78613982,-87.69420047,3
SexOffenders Cluster 58,41.74262226,-87.57241414,1
SexOffenders Cluster 59,41.82650133,-87.66867073,1
SexOffenders Cluster 60,33.9950383,-118.2805538,2
SexOffenders Cluster 61,41.9087534,-87.6725226,1
SexOffenders Cluster 62,41.8831004,-87.7478372,3
SexOffenders Cluster 63,41.9737529,-87.79244163,6
SexOffenders Cluster 64,41.7699213,-87.72619175,3
SexOffenders Cluster 65,41.8284805,-87.6387354,1
SexOffenders Cluster 66,41.7088289,-87.6368081,1
SexOffenders Cluster 67,41.6618306,-87.7387302,2
SexOffenders Cluster 68,41.89770497,-87.77227433,1
SexOffenders Cluster 69,41.7567422,-87.55490566,2
SexOffenders Cluster 70,41.76767704,-87.61627934,1
SexOffenders Cluster 71,41.9797039,-87.6840107,1
SexOffenders Cluster 72,39.812397,-105.171843,5
SexOffenders Cluster 73,41.4934945,-81.618262,6
SexOffenders Cluster 74,40.747013,-73.9976053,4
SexOffenders Cluster 75,41.930171,-87.75181249,2
SexOffenders Cluster 76,41.8674265,-87.6304349,2
SexOffenders Cluster 77,41.8868221,-87.7209379,3
SexOffenders Cluster 78,41.763781,-87.6200391,3
SexOffenders Cluster 79,41.8489138,-87.72291449,11
SexOffenders Cluster 80,41.94212013,-87.72336905,6
SexOffenders Cluster 81,41.7941705,-87.6548627,5
SexOffenders Cluster 82,41.8334648,-87.6581925,2
SexOffenders Cluster 83,40.76925555,-73.95947495,10
SexOffenders Cluster 84,33.9681862,-118.3221335,2
SexOffenders Cluster 85,42.0743523,-87.8572797,9
SexOffenders Cluster 86,33.927662,-118.3310048,2
SexOffenders Cluster 87,41.8160168,-87.6840685,3
SexOffenders Cluster 88,40.7942372,-73.9686709,4
SexOffenders Cluster 89,41.95513663,-87.65680163,5
SexOffenders Cluster 90,41.8618722,-87.7035846,1
SexOffenders Cluster 91,41.7216707,-87.6321686,2
SexOffenders Cluster 92,41.9474968,-87.74706815,1
SexOffenders Cluster 93,41.7205676,-87.71524,3
SexOffenders Cluster 94,41.8114214,-87.7311988,2
SexOffenders Cluster 95,41.7166209,-87.6770893,8
SexOffenders Cluster 96,36.0034095,-95.9191461,4
SexOffenders Cluster 97,41.6766213,-87.54236305,1
SexOffenders Cluster 98,41.8956094,-87.7016721,2
SexOffenders Cluster 99,41.73971898,-87.61165513,2
SexOffenders Cluster 100,41.68526,-87.8008989,3
SexOffenders Cluster 101,41.93297708,-87.66022605,4
SexOffenders Cluster 102,41.75192769,-87.60459535,3
SexOffenders Cluster 103,41.94448103,-87.810196,9
SexOffenders Cluster 104,41.9235942,-87.795918,1
SexOffenders Cluster 105,40.804257,-73.9192998,1
SexOffenders Cluster 106,41.7465619,-87.642699,1
SexOffenders Cluster 107,41.8183119,-87.697352,3
SexOffenders Cluster 108,42.01649345,-87.6868465,2
SexOffenders Cluster 109,36.1468401,-95.9974098,2
SexOffenders Cluster 110,41.9114794,-87.744098,1
SexOffenders Cluster 111,41.8033479,-87.5816686,1
SexOffenders Cluster 112,39.7951356,-104.9938806,1
SexOffenders Cluster 113,39.9124775,-104.9456462,4
SexOffenders Cluster 114,41.937283,-87.7717086,6
SexOffenders Cluster 115,41.89273557,-87.62446227,4
SexOffenders Cluster 116,41.9519823,-87.6689237,1
SexOffenders Cluster 117,41.6952306,-87.6997584,3
SexOffenders Cluster 118,41.7705761,-87.6494115,1
SexOffenders Cluster 119,41.9009275,-87.7183211,2
SexOffenders Cluster 120,42.0207695,-87.8065807,2
SexOffenders Cluster 121,41.77235499,-87.68331136,6
SexOffenders Cluster 122,41.7917108,-87.6355427,2
SexOffenders Cluster 123,41.7145184,-87.6598823,9
SexOffenders Cluster 124,41.9737022,-87.8464257,8
SexOffenders Cluster 125,41.94788683,-87.70009287,1
SexOffenders Cluster 126,41.9426187,-87.7359019,3
SexOffenders Cluster 127,41.6893343,-87.6622773,2
SexOffenders Cluster 128,41.842386,-87.65941885,1
SexOffenders Cluster 129,41.9872484,-87.8118409,1
SexOffenders Cluster 130,34.0400852,-118.3203911,7
SexOffenders Cluster 131,41.6644063,-87.6221707,2
SexOffenders Cluster 132,41.96750344,-87.74808589,13
SexOffenders Cluster 133,41.73711747,-87.59532153,5
SexOffenders Cluster 134,41.7862043,-87.7070086,1
SexOffenders Cluster 135,41.8550936,-87.6456014,4
SexOffenders Cluster 136,41.87923505,-87.69745535,1
SexOffenders Cluster 137,41.7446566,-87.6291473,4
SexOffenders Cluster 138,33.9364061,-118.2955461,18
SexOffenders Cluster 139,33.9621284,-118.3997743,6
SexOffenders Cluster 140,41.9175306,-87.6947141,1
SexOffenders Cluster 141,41.76674687,-87.59252028,2
SexOffenders Cluster 142,41.9682837,-87.8042834,4
SexOffenders Cluster 143,41.7024842,-87.53718424,11
SexOffenders Cluster 144,41.7581216,-87.6320573,8
SexOffenders Cluster 145,40.7483675,-73.9765992,1
SexOffenders Cluster 146,41.7348323,-87.64923223,5
SexOffenders Cluster 147,41.9563126,-87.7932095,10
SexOffenders Cluster 148,41.95625415,-87.74814365,2
SexOffenders Cluster 149,41.7564609,-87.6214968,7
SexOffenders Cluster 150,41.9182476,-87.7118892,3
SexOffenders Cluster 151,41.6990216,-87.6875446,2
SexOffenders Cluster 152,41.69709,-87.5607346,6
SexOffenders Cluster 153,41.74621688,-87.57631588,14
SexOffenders Cluster 154,41.7806296,-87.67151105,2
SexOffenders Cluster 155,36.024415,-95.9230819,4
SexOffenders Cluster 156,41.94926709,-87.71612057,2
SexOffenders Cluster 157,41.90343963,-87.75709053,1
SexOffenders Cluster 158,41.88130305,-87.6390308,2
SexOffenders Cluster 159,41.798781,-87.7184187,1
SexOffenders Cluster 160,40.77461673,-73.95507336,11
SexOffenders Cluster 161,39.8297775,-105.0987749,7
SexOffenders Cluster 162,41.7978523,-87.67629217,4
SexOffenders Cluster 163,41.86154658,-87.71130648,5
SexOffenders Cluster 164,40.76033944,-73.9874082,2
SexOffenders Cluster 165,41.7147354,-87.5735823,2
SexOffenders Cluster 166,40.810843,-73.95068,7
SexOffenders Cluster 167,41.833407,-87.6104216,7
SexOffenders Cluster 168,41.8529041,-87.6905391,1
SexOffenders Cluster 169,41.9530696,-87.7755534,6
SexOffenders Cluster 170,41.8957737,-87.6843877,2
SexOffenders Cluster 171,42.00845735,-87.6818039,1
SexOffenders Cluster 172,41.9062537,-87.7288507,8
SexOffenders Cluster 173,41.8710991,-87.6923749,3
SexOffenders Cluster 174,41.74225245,-87.56061993,1
SexOffenders Cluster 175,41.8744672,-87.70957545,2
SexOffenders Cluster 176,41.8714119,-87.6542184,3
SexOffenders Cluster 177,41.7868847,-87.7791691,4
SexOffenders Cluster 178,40.78130003,-73.97742355,2
SexOffenders Cluster 179,41.95417145,-87.67786265,1
SexOffenders Cluster 180,41.7740666,-87.6239578,1
SexOffenders Cluster 181,41.93930324,-87.72535132,11
SexOffenders Cluster 182,40.7674643,-73.96143622,2
SexOffenders Cluster 183,41.8130047,-87.61336905,4
SexOffenders Cluster 184,41.9126673,-87.6605419,15
SexOffenders Cluster 185,41.9456177,-87.7887681,6
SexOffenders Cluster 186,41.80221576,-87.66579466,3
SexOffenders Cluster 187,41.9768297,-87.8237088,8
SexOffenders Cluster 188,41.89437855,-87.66017605,1
SexOffenders Cluster 189,40.80190502,-73.96049708,3
SexOffenders Cluster 190,41.9885744,-87.6993299,3
SexOffenders Cluster 191,39.827687,-105.12524,2
SexOffenders Cluster 192,41.76410176,-87.64102948,5
SexOffenders Cluster 193,41.9522769,-87.7392288,1
SexOffenders Cluster 194,41.75283697,-87.63874434,1
SexOffenders Cluster 195,41.891637,-87.6720405,7
SexOffenders Cluster 196,41.8526748,-87.7064764,1
SexOffenders Cluster 197,41.9086776,-87.8176616,1
SexOffenders Cluster 198,41.8548649,-87.6808253,4
SexOffenders Cluster 199,41.9244358,-87.7341124,3
SexOffenders Cluster 200,41.92464345,-87.70392695,4
SexOffenders Cluster 201,41.72215418,-87.62601924,3
SexOffenders Cluster 202,41.9055402,-87.71011807,8
SexOffenders Cluster 203,41.70731415,-87.67229305,4
SexOffenders Cluster 204,41.7772252,-87.6975967,1
SexOffenders Cluster 205,41.7603608,-87.7221252,6
SexOffenders Cluster 206,39.7036944,-104.9290352,1
