W CONGRESS PKWY,Garfield Park
S CARPENTER ST,Auburn Gresham
S ELLIS AVE,Woodlawn
W ENGLEWOOD AVE,
W PARKER AVE,Hermosa
S JUSTINE ST,Englewood
W CONCORD PL,West Town
S ANTHONY AVE,Avalon Park
S INDIANA AVE,Grand Crossing
S PRINCETON AVE,Grand Crossing
E 72ND PL,South Shore
N TROY ST,Avondale
W BRYN MAWR AVE,"Sauganash,Forest Glen"
W CORTLAND ST,Hermosa
S HOXIE AVE,South Deering
S WESTERN AVE,
W 63RD ST,
S WINCHESTER AVE,Englewood
W JACKSON BLVD,Garfield Park
W MARQUETTE RD,Chicago Lawn
S CHURCH ST,
N SPAULDING AVE,Avondale
W CRYSTAL ST,Humboldt Park
S EGGLESTON AVE,Washington Heights
W LAWRENCE AVE,"Sauganash,Forest Glen"
N KEDZIE AVE,Irving Park
E 120TH PL,
S SANGAMON ST,Auburn Gresham
S EMERALD AVE,Auburn Gresham
W 80TH ST,
S DOBSON AVE,Chatham
S HARPER AVE,South Shore
S SOUTH SHORE DR,South Shore
N CLARK ST,Wrigleyville
S HONORE ST,Englewood
S WABASH AVE,Grand Crossing
W 74TH ST,
N HAMLIN AVE,Avondale
S MORGAN ST,Englewood
S MILLARD AVE,North Lawndale
W FILLMORE ST,North Lawndale
S SAWYER AVE,Little Village
S JEFFERY BLVD,South Chicago
N LAWLER AVE,Austin
W 97TH ST,
S GREEN ST,Washington Heights
S ABERDEEN ST,"Little Italy, UIC"
N LONG AVE,Belmont Cragin
N RIDGEWAY AVE,Avondale
S COLFAX AVE,South Chicago
S LAWNDALE AVE,North Lawndale
S MAY ST,Englewood
N KARLOV AVE,Irving Park
S DREXEL AVE,Grand Crossing
W WINNECONNA PKWY,Grand Crossing
N SPRINGFIELD AVE,Avondale
S LANGLEY AVE,Chatham
W 78TH PL,
N PARKSIDE AVE,Belmont Cragin
E 119TH PL,
N KILPATRICK AVE,Portage Park
W BRAYTON ST,West Pullman
N AVERS AVE,Avondale
W 51ST PL,
W 83RD ST,
S CALUMET AVE,Grand Crossing
S MEADE AVE,Garfield Ridge
W 13TH PL,North Lawndale
S PAULINA ST,New City
E GROVELAND PARK,Douglas
W 60TH ST,
W BARRY AVE,Avondale
S OAKLEY AVE,Chicago Lawn
S ARCHER AVE,Brighton Park
S TALMAN AVE,Morgan Park
S RHODES AVE,Chatham
W GRAND AVE,Montclare
W 37TH PL,
W BALMORAL AVE,Lincoln Square
N GLENWOOD AVE,Edgewater
S MARYLAND AVE,Grand Crossing
S BURNHAM AVE,South Chicago
S ALBANY AVE,North Lawndale
S MARSHFIELD AVE,Englewood
N SAWYER AVE,Avondale
W 77TH ST,
S MICHIGAN AVE,Grand Crossing
W GARFIELD BLVD,Englewood
S PERRY AVE,Roseland
S PRAIRIE AVE,Near South Side
E 136TH ST,
S FRANCISCO AVE,Chicago Lawn
E 134TH ST,
S LOWE AVE,Auburn Gresham
S HOYNE AVE,Englewood
S ELIZABETH ST,
S INGLESIDE AVE,Grand Crossing
N CICERO AVE,Portage Park
W 64TH PL,
S AVENUE N,East Side
N MENARD AVE,Belmont Cragin
N AUSTIN BLVD,Austin
W ADAMS ST,Garfield Park
N LAMON AVE,Belmont Cragin
W SCHOOL ST,Portage Park
E 99TH ST,
N ARTESIAN AVE,North Center
S TRIPP AVE,West Lawn
S WASHTENAW AVE,Chicago Lawn
S FOREST AVE,
W ROSCOE ST,Irving Park
W 108TH PL,Morgan Park
S ADA ST,Englewood
S DAMEN AVE,New City
W HARRISON ST,Garfield Park
E 79TH ST,
W BIRCHWOOD AVE,West Ridge
W 25TH ST,
S WOOD ST,Englewood
S DR MARTIN LUTHER KING JR DR,Grand Crossing
W FULLERTON AVE,Hermosa
E 69TH ST,
W WASHINGTON BLVD,
S SPAULDING AVE,
W 110TH ST,
E 71ST ST,
S OGLESBY AVE,Calumet Heights
E 81ST ST,
W ROOSEVELT RD,North Lawndale
N WASHTENAW AVE,Logan Square
S TRUMBULL AVE,North Lawndale
E 68TH ST,
W 67TH PL,
S SACRAMENTO BLVD,Garfield Park
S DANTE AVE,Avalon Park
S KILBOURN AVE,Ashburn
N ELSTON AVE,Irving Park
W BELMONT AVE,Portage Park
W MONTROSE AVE,Irving Park
S FAIRFIELD AVE,Chicago Lawn
W CORNELIA AVE,Irving Park
N KENMORE AVE,Uptown
S RACINE AVE,Englewood
S LOOMIS ST,Lower West Side
W PERSHING RD,New City
W 73RD ST,
S BALTIMORE AVE,
S FORRESTVILLE AVE,Grand Boulevard
S EAST END AVE,Avalon Park
W 51ST ST,
N WESTERN AVE,North Center
S ST LAWRENCE AVE,Grand Crossing
S STATE ST,Grand Crossing
S CHAMPLAIN AVE,Chatham
S CLYDE AVE,South Chicago
W IRVING PARK RD,
N ST LOUIS AVE,Avondale
N KILDARE AVE,Avondale
N MANGO AVE,Portage Park
S CLARK ST,Printers Row
S CHRISTIANA AVE,Gage Park
W 71ST ST,
E 103RD ST,
S STEWART AVE,Englewood
S BISHOP ST,Englewood
S ST LOUIS AVE,Brighton Park
N MILWAUKEE AVE,
N DAMEN AVE,North Center
S WENTWORTH AVE,Chatham
E 123RD ST,
E 73RD PL,South Shore
N ASHLAND BLVD,Rogers Park
S RICHMOND ST,Chicago Lawn
E 71ST PL,South Shore
W POLK ST,Garfield Park
W WRIGHTWOOD AVE,Sheffield & DePaul
S NORMAL AVE,Bridgeport
S NORMAL BLVD,Englewood
N NORDICA AVE,
N KEOKUK AVE,Irving Park
N DRAKE AVE,Avondale
E 74TH ST,
W PALMER ST,Belmont Cragin
W EDDY ST,Portage Park
W GLADYS AVE,Garfield Park
S COTTAGE GROVE AVE,Chatham
