CONGRESS PKWY,"[41.8756889, -87.63175129999999]"
CARPENTER ST,"[38.785783, -76.22411]"
ELLIS AVE,"[32.3018552, -90.2277689]"
ENGLEWOOD AVE,"[42.3371251, -71.1452571]"
PARKER AVE,"[35.3357747, -119.051161]"
JUSTINE ST,"[41.766752, -87.6626637]"
CONCORD PL,"[41.9126673, -87.6605419]"
ANTHONY AVE,"[40.8486926, -73.9032682]"
INDIANA AVE,"[39.3624446, -74.4342891]"
PRINCETON AVE,"[37.2698451, -81.2218403]"
72ND PL,"[33.7448948, -118.1172738]"
TROY ST,"[38.7488538, -104.7953019]"
BRYN MAWR AVE,"[41.98316639999999, -87.71334809999999]"
CORTLAND ST,"[42.5891638, -76.1939639]"
HOXIE AVE,"[33.9190345, -118.1037043]"
WESTERN AVE,"[41.5681478, -87.6749782]"
63RD ST,"[41.7791978, -87.5908766]"
WINCHESTER AVE,"[39.452193, -77.97580099999999]"
JACKSON BLVD,"[41.8779155, -87.66857309999999]"
MARQUETTE RD,"[41.7717634, -87.7030623]"
CHURCH ST,"[44.4759473, -73.2124828]"
SPAULDING AVE,"[43.37317789999999, -70.9835075]"
CRYSTAL ST,"[40.233204, -76.97280599999999]"
EGGLESTON AVE,"[39.10496089999999, -84.5039005]"
LAWRENCE AVE,"[44.674856, -74.974847]"
KEDZIE AVE,"[41.9502774, -87.7079091]"
120TH PL,"[47.7091637, -122.208733]"
SANGAMON ST,"[41.74511140000001, -87.6475107]"
EMERALD AVE,"[42.202725, -71.023968]"
80TH ST,"[40.7747964, -73.95585659999999]"
DOBSON AVE,"[41.7377306, -87.5989716]"
HARPER AVE,"[41.800512, -87.589439]"
SOUTH SHORE DR,"[41.7594168, -87.5560283]"
CLARK ST,"[39.203406, -90.9434079]"
HONORE ST,"[41.937344, -87.67423219999999]"
WABASH AVE,"[41.8879391, -87.6268237]"
74TH ST,"[40.7703906, -73.95802739999999]"
HAMLIN AVE,"[41.9391654, -87.7222886]"
MORGAN ST,"[39.3437959, -76.5843847]"
MILLARD AVE,"[41.2096339, -96.1253885]"
FILLMORE ST,"[37.7879587, -122.4336699]"
SAWYER AVE,"[41.063716, -73.861233]"
JEFFERY BLVD,"[41.7461487, -87.57587889999999]"
LAWLER AVE,"[42.0624516, -87.7527315]"
97TH ST,"[40.7942372, -73.96867089999999]"
GREEN ST,"[42.3645362, -71.1041954]"
ABERDEEN ST,"[43.13934990000001, -77.6407397]"
LONG AVE,"[40.6961359, -74.2272885]"
RIDGEWAY AVE,"[43.18944159999999, -77.6901395]"
COLFAX AVE,"[39.7383669, -104.3237214]"
LAWNDALE AVE,"[41.9574033, -87.72036539999999]"
MAY ST,"[41.8526272, -87.6548779]"
KARLOV AVE,"[41.94634629999999, -87.72921459999999]"
DREXEL AVE,"[40.7580935, -73.5929397]"
WINNECONNA PKWY,"[41.7523134, -87.6360947]"
SPRINGFIELD AVE,"[40.7244228, -74.2428171]"
LANGLEY AVE,"[30.4879073, -87.19288399999999]"
78TH PL,"[33.668216, -111.9098587]"
PARKSIDE AVE,"[40.6553417, -73.9607201]"
119TH PL,"[48.10295199999999, -122.1622045]"
KILPATRICK AVE,"[41.9470542, -87.7445472]"
BRAYTON ST,"[40.8916874, -73.9632015]"
AVERS AVE,"[41.9409518, -87.7235522]"
51ST PL,"[36.227806, -95.98458400000001]"
83RD ST,"[41.7453668, -87.5515542]"
CALUMET AVE,"[41.5244078, -87.5090848]"
MEADE AVE,"[32.7573012, -117.1274022]"
13TH PL,"[38.972204, -77.02784900000002]"
PAULINA ST,"[41.9524198, -87.6714332]"
GROVELAND PARK,"[44.9347888, -93.185419]"
60TH ST,"[36.0769315, -95.88644649999999]"
BARRY AVE,"[34.0431775, -118.4541196]"
OAKLEY AVE,"[39.34887030000001, -76.66564650000001]"
ARCHER AVE,"[40.7039286, -73.794299]"
TALMAN AVE,"[41.9489935, -87.69489109999999]"
RHODES AVE,"[34.1806995, -118.4030381]"
GRAND AVE,"[44.9400126, -93.14970939999999]"
37TH PL,"[34.0199864, -118.3044286]"
BALMORAL AVE,"[41.9797039, -87.6840107]"
GLENWOOD AVE,"[35.8633075, -78.7130681]"
MARYLAND AVE,"[32.7763819, -117.0386028]"
BURNHAM AVE,"[36.1298512, -115.1221633]"
ALBANY AVE,"[40.707681, -73.465108]"
MARSHFIELD AVE,"[41.925513, -87.6698231]"
77TH ST,"[31.1458698, -97.79921329999999]"
MICHIGAN AVE,"[41.8165421, -87.6230265]"
GARFIELD BLVD,"[41.7941705, -87.6548627]"
PERRY AVE,"[40.872925, -73.8792422]"
PRAIRIE AVE,"[41.85765869999999, -87.62265939999999]"
136TH ST,"[38.88218250000001, -94.71713869999999]"
FRANCISCO AVE,"[41.9503153, -87.70057159999999]"
134TH ST,"[40.8163934, -73.94834829999999]"
LOWE AVE,"[41.7391066, -87.640402]"
HOYNE AVE,"[41.95046620000001, -87.6810788]"
ELIZABETH ST,"[40.720633, -73.9949718]"
INGLESIDE AVE,"[39.298156, -76.723342]"
CICERO AVE,"[41.66183059999999, -87.7387302]"
64TH PL,"[47.5449905, -122.175888]"
AVENUE N,"[41.8401723, -71.3544471]"
MENARD AVE,"[41.7871379, -87.76695699999999]"
AUSTIN BLVD,"[30.2774565, -97.77176670000001]"
ADAMS ST,"[38.5047185, -122.4707653]"
LAMON AVE,"[41.6251802, -87.7397185]"
SCHOOL ST,"[42.3576923, -71.0593676]"
99TH ST,"[38.945028, -94.5081804]"
ARTESIAN AVE,"[41.9485252, -87.6895052]"
TRIPP AVE,"[41.8534583, -87.8387194]"
WASHTENAW AVE,"[42.2532937, -83.6772282]"
FOREST AVE,"[39.04865640000001, -94.57168539999999]"
ROSCOE ST,"[41.9426187, -87.7359019]"
108TH PL,"[45.489867, -122.5514141]"
ADA ST,"[41.8961738, -87.66137979999999]"
DAMEN AVE,"[41.9505032, -87.6786568]"
HARRISON ST,"[41.8861303, -87.6396666]"
79TH ST,"[40.7736341, -73.955834]"
BIRCHWOOD AVE,"[43.3085098, -79.8502426]"
25TH ST,"[37.75074800000001, -122.418691]"
WOOD ST,"[37.8251838, -92.146389]"
DR MARTIN LUTHER KING JR DR,"[37.7277189, -122.4058424]"
FULLERTON AVE,"[41.9176049, -88.0793133]"
69TH ST,"[39.9560255, -75.2579962]"
WASHINGTON BLVD,"[34.0110647, -118.4107829]"
110TH ST,"[40.7982708, -73.9525251]"
71ST ST,"[36.060705, -95.939493]"
OGLESBY AVE,"[41.7354026, -87.56712449999999]"
81ST ST,"[40.7844744, -73.9773671]"
ROOSEVELT RD,"[41.8611282, -87.9405319]"
TRUMBULL AVE,"[41.21833400000001, -73.202484]"
68TH ST,"[40.7666644, -73.9612344]"
67TH PL,"[39.214655, -94.576064]"
SACRAMENTO BLVD,"[41.8901951, -87.7016482]"
DANTE AVE,"[39.4536086, -74.94112009999999]"
