Address,Latitude,Longitude
"2339 N California Ave, Chicago, IL 60647, USA",41.9241811,-87.6968995
"2274 N Milwaukee Ave, Chicago, IL 60647, USA",41.922243,-87.6968112
"2274 N Milwaukee Ave, Chicago, IL 60647, USA",41.9222775,-87.6967783
"California, 2211 N California Ave, Chicago, IL 60647, USA",41.9220408,-87.697061
"2211 N California Ave, Chicago, IL 60647, USA",41.9221007,-87.6969861
"2279 N Milwaukee Ave, Chicago, IL 60647, USA",41.9205942,-87.6986753
"Palmer Square, Chicago, IL 60647, USA",41.9210705,-87.7004823
"Chicago, IL 60647",41.9215421,-87.7024817
"Chicago, IL, USA",41.8781136,-87.6297982
"Cook County, IL, USA",41.7376587,-87.697554
"Illinois, USA",40.6331249,-89.3985283
