W CONGRESS PKWY,"[41.8748958, -87.6961278]"
S CARPENTER ST,"[41.7353933, -87.6496883]"
S ELLIS AVE,"[41.7804559, -87.6010685]"
W ENGLEWOOD AVE,"[40.9012482, -73.9988241]"
W PARKER AVE,"[41.9306177, -87.7392071]"
S JUSTINE ST,"[41.766752, -87.6626637]"
W CONCORD PL,"[41.9126673, -87.6605419]"
S ANTHONY AVE,"[41.7476921, -87.5835463]"
S INDIANA AVE,"[41.763781, -87.62003910000001]"
S PRINCETON AVE,"[41.7581216, -87.6320573]"
E 72ND PL,"[41.7634107, -87.5780877]"
N TROY ST,"[41.9427399, -87.706498]"
W BRYN MAWR AVE,"[41.9829975, -87.7496357]"
W CORTLAND ST,"[41.9151752, -87.7399932]"
S HOXIE AVE,"[41.69709, -87.56073459999999]"
S WESTERN AVE,"[33.895696, -118.3091454]"
W 63RD ST,"[40.7729227, -73.9857785]"
S WINCHESTER AVE,"[41.7800563, -87.6727066]"
W JACKSON BLVD,"[41.87736839999999, -87.70109730000001]"
W MARQUETTE RD,"[41.7719709, -87.6835069]"
S CHURCH ST,"[35.8335322, -86.3936367]"
N SPAULDING AVE,"[41.9389721, -87.7100495]"
W CRYSTAL ST,"[41.9037134, -87.7116882]"
S EGGLESTON AVE,"[41.70886910000001, -87.6336322]"
W LAWRENCE AVE,"[41.9680101, -87.7494432]"
N KEDZIE AVE,"[41.9502774, -87.7079091]"
E 120TH PL,"[39.91448, -104.927853]"
S SANGAMON ST,"[41.74511140000001, -87.6475107]"
S EMERALD AVE,"[41.7465619, -87.642699]"
W 80TH ST,"[40.7838387, -73.9778271]"
S DOBSON AVE,"[41.7377306, -87.5989716]"
S HARPER AVE,"[41.7585469, -87.58733099999999]"
S SOUTH SHORE DR,"[41.7594168, -87.5560283]"
N CLARK ST,"[41.9489777, -87.6579379]"
S HONORE ST,"[41.7812029, -87.6703155]"
S WABASH AVE,"[41.7740666, -87.6239578]"
W 74TH ST,"[40.7799362, -73.98069799999999]"
N HAMLIN AVE,"[41.9391654, -87.7222886]"
S MORGAN ST,"[41.7705761, -87.64941150000001]"
S MILLARD AVE,"[41.8546556, -87.7162967]"
W FILLMORE ST,"[41.8682831, -87.6996094]"
S SAWYER AVE,"[41.8526748, -87.7064764]"
S JEFFERY BLVD,"[41.7461487, -87.57587889999999]"
N LAWLER AVE,"[41.9059111, -87.7521778]"
W 97TH ST,"[40.7942372, -73.96867089999999]"
S GREEN ST,"[41.7292223, -87.6446715]"
S ABERDEEN ST,"[41.8714119, -87.65421839999999]"
N LONG AVE,"[41.9313405, -87.76132299999999]"
N RIDGEWAY AVE,"[41.942817, -87.7211708]"
S COLFAX AVE,"[41.7408813, -87.56119939999999]"
S LAWNDALE AVE,"[41.8516455, -87.7174201]"
S MAY ST,"[41.7650669, -87.6529037]"
N KARLOV AVE,"[41.94634629999999, -87.72921459999999]"
S DREXEL AVE,"[41.7586127, -87.60289929999999]"
W WINNECONNA PKWY,"[41.7523134, -87.6360947]"
N SPRINGFIELD AVE,"[41.9427658, -87.7248346]"
